time,close,open,high,low,volume
1739941200,1458.0,1462.0,1462.0,1452.0,930
1739944800,1461.0,1451.0,1461.0,1448.0,245
1739948400,1447.0,1459.0,1459.0,1447.0,167
1739952000,1439.0,1447.0,1449.0,1429.0,2542
1739955600,1449.0,1439.0,1449.0,1439.0,449
1739959200,1462.0,1446.0,1464.0,1444.0,432
1739962800,1467.0,1467.0,1471.0,1464.0,370
1739966400,1465.0,1466.0,1467.0,1461.0,112
1739970000,1470.0,1466.0,1478.0,1466.0,755
1739973600,1484.0,1473.0,1484.0,1470.0,901
1739977200,1473.0,1483.0,1484.0,1473.0,1193
1739980800,1487.0,1477.0,1490.0,1476.0,316
1739984400,1489.0,1485.0,1491.0,1484.0,327
1739988000,1485.0,1491.0,1491.0,1483.0,444
1739991600,1479.0,1486.0,1486.0,1479.0,22
1739995200,1486.0,1476.0,1486.0,1475.0,80
1740031200,1477.0,1488.0,1488.0,1477.0,145
1740034800,1479.0,1478.0,1487.0,1478.0,78
1740038400,1477.0,1473.0,1477.0,1461.0,117
1740042000,1473.0,1470.0,1484.0,1469.0,781
1740045600,1473.0,1472.0,1476.0,1468.0,238
1740049200,1478.0,1473.0,1478.0,1468.0,285
1740052800,1487.0,1479.0,1488.0,1478.0,250
1740056400,1493.0,1489.0,1498.0,1488.0,1630
1740060000,1490.0,1494.0,1495.0,1484.0,453
1740063600,1479.0,1490.0,1490.0,1475.0,346
1740067200,1478.0,1483.0,1484.0,1476.0,105
1740070800,1481.0,1476.0,1481.0,1474.0,102
1740074400,1480.0,1480.0,1480.0,1480.0,21
1740078000,1483.0,1482.0,1483.0,1481.0,147
1740081600,1482.0,1481.0,1482.0,1481.0,30
1740117600,1487.0,1482.0,1492.0,1482.0,416
1740121200,1490.0,1485.0,1494.0,1484.0,330
1740124800,1500.0,1490.0,1504.0,1490.0,818
1740128400,1486.0,1499.0,1499.0,1486.0,196
1740132000,1467.0,1485.0,1487.0,1467.0,795
1740135600,1465.0,1467.0,1467.0,1457.0,1156
1740139200,1454.0,1468.0,1472.0,1451.0,926
1740142800,1457.0,1452.0,1464.0,1451.0,923
1740146400,1465.0,1457.0,1467.0,1457.0,238
1740150000,1456.0,1463.0,1464.0,1453.0,174
1740153600,1461.0,1461.0,1461.0,1461.0,45
1740157200,1464.0,1457.0,1464.0,1457.0,123
1740160800,1465.0,1465.0,1465.0,1464.0,102
1740164400,1470.0,1465.0,1470.0,1465.0,6
1740168000,1472.0,1467.0,1474.0,1467.0,60
1740373200,1472.0,1472.0,1472.0,1472.0,5
1740376800,1475.0,1473.0,1480.0,1471.0,105
1740380400,1464.0,1472.0,1472.0,1456.0,342
1740384000,1466.0,1463.0,1466.0,1460.0,71
1740387600,1462.0,1463.0,1465.0,1456.0,2198
1740391200,1465.0,1462.0,1465.0,1462.0,25
1740394800,1469.0,1470.0,1470.0,1469.0,61
1740398400,1471.0,1471.0,1471.0,1467.0,343
1740402000,1468.0,1468.0,1468.0,1464.0,255
1740405600,1467.0,1468.0,1468.0,1464.0,192
1740409200,1474.0,1474.0,1474.0,1471.0,42
1740412800,1475.0,1474.0,1482.0,1469.0,2105
1740416400,1481.0,1473.0,1482.0,1473.0,218
1740420000,1489.0,1482.0,1494.0,1482.0,232
1740423600,1560.0,1491.0,1570.0,1488.0,1611
1740427200,1570.0,1560.0,1578.0,1545.0,6379
1740463200,1603.0,1576.0,1604.0,1570.0,6881
1740466800,1570.0,1603.0,1603.0,1556.0,6247
1740470400,1568.0,1570.0,1580.0,1561.0,7601
1740474000,1569.0,1567.0,1580.0,1551.0,3734
1740477600,1555.0,1564.0,1570.0,1549.0,4206
1740481200,1566.0,1555.0,1568.0,1555.0,2144
1740484800,1558.0,1566.0,1574.0,1555.0,2593
1740488400,1557.0,1558.0,1563.0,1556.0,2489
1740492000,1533.0,1556.0,1560.0,1532.0,4770
1740495600,1527.0,1532.0,1532.0,1519.0,1315
1740499200,1529.0,1522.0,1530.0,1518.0,696
1740502800,1526.0,1530.0,1535.0,1526.0,204
1740506400,1534.0,1527.0,1534.0,1526.0,359
1740510000,1541.0,1534.0,1542.0,1534.0,474
1740513600,1537.0,1540.0,1540.0,1533.0,177
1740549600,1537.0,1545.0,1547.0,1537.0,1051
1740553200,1525.0,1538.0,1539.0,1516.0,5667
1740556800,1524.0,1527.0,1530.0,1521.0,1207
1740560400,1511.0,1524.0,1525.0,1507.0,4109
1740564000,1485.0,1511.0,1515.0,1480.0,5676
1740567600,1502.0,1490.0,1502.0,1480.0,1027
1740571200,1478.0,1496.0,1496.0,1477.0,1155
1740574800,1486.0,1478.0,1487.0,1470.0,859
1740578400,1493.0,1487.0,1500.0,1484.0,2532
1740582000,1487.0,1493.0,1496.0,1487.0,1574
1740585600,1470.0,1492.0,1492.0,1458.0,2954
1740589200,1469.0,1474.0,1481.0,1469.0,119
1740592800,1466.0,1474.0,1480.0,1465.0,1449
1740596400,1467.0,1467.0,1470.0,1461.0,1429
1740600000,1471.0,1470.0,1473.0,1470.0,586
1740632400,1497.0,1510.0,1510.0,1471.0,1300
1740636000,1478.0,1470.0,1482.0,1470.0,791
1740639600,1477.0,1481.0,1489.0,1477.0,1615
1740643200,1462.0,1475.0,1479.0,1457.0,1341
1740646800,1462.0,1470.0,1471.0,1459.0,662
1740650400,1457.0,1455.0,1461.0,1448.0,2096
1740654000,1451.0,1455.0,1456.0,1448.0,1000
1740657600,1480.0,1450.0,1488.0,1450.0,5144
1740661200,1487.0,1480.0,1489.0,1476.0,1242
1740664800,1482.0,1487.0,1490.0,1478.0,334
1740668400,1476.0,1484.0,1485.0,1476.0,877
1740672000,1464.0,1475.0,1475.0,1445.0,1495
1740675600,1456.0,1468.0,1468.0,1456.0,62
1740679200,1460.0,1452.0,1463.0,1452.0,373
1740682800,1450.0,1460.0,1460.0,1450.0,52
1740686400,1443.0,1450.0,1450.0,1417.0,854
1740722400,1448.0,1450.0,1457.0,1444.0,1462
1740726000,1437.0,1447.0,1455.0,1429.0,2449
1740729600,1460.0,1440.0,1463.0,1437.0,1286
1740733200,1455.0,1462.0,1462.0,1453.0,533
1740736800,1468.0,1452.0,1472.0,1451.0,1997
1740740400,1471.0,1469.0,1474.0,1464.0,552
1740744000,1448.0,1464.0,1465.0,1447.0,714
1740747600,1451.0,1446.0,1461.0,1446.0,820
1740751200,1458.0,1448.0,1459.0,1445.0,349
1740754800,1466.0,1461.0,1466.0,1460.0,152
1740758400,1483.0,1466.0,1483.0,1462.0,88
