time,close,open,high,low,volume
1739944800,61921.0,61235.0,61921.0,61206.0,10
1739948400,61289.0,61511.0,61549.0,61248.0,11
1739952000,60645.0,61270.0,61270.0,60617.0,10
1739959200,61450.0,61450.0,61450.0,61450.0,1
1739962800,61309.0,61309.0,61309.0,61309.0,1
1739966400,61183.0,61205.0,61205.0,61183.0,4
1739973600,61159.0,61159.0,61159.0,61159.0,1
1739977200,61157.0,61157.0,61157.0,61157.0,1
1739980800,61657.0,61296.0,61657.0,61296.0,3
1739988000,61885.0,61896.0,61896.0,61885.0,2
1739995200,61486.0,61486.0,61486.0,61486.0,1
1740031200,61548.0,61548.0,61548.0,61548.0,1
1740034800,61593.0,61593.0,61593.0,61593.0,1
1740038400,61454.0,61400.0,61454.0,61400.0,2
1740042000,62026.0,61800.0,62026.0,61708.0,4
1740045600,62365.0,62026.0,62365.0,62026.0,16
1740049200,62300.0,62036.0,62300.0,62036.0,2
1740052800,62300.0,62300.0,62300.0,62300.0,19
1740056400,62310.0,62260.0,62326.0,62260.0,6
1740060000,62212.0,62212.0,62212.0,62212.0,3
1740063600,61800.0,62150.0,62150.0,61800.0,3
1740070800,61800.0,61800.0,61800.0,61800.0,10
1740081600,62040.0,62045.0,62065.0,62040.0,5
1740117600,62100.0,62100.0,62100.0,62100.0,1
1740121200,62022.0,62022.0,62022.0,62022.0,1
1740124800,61910.0,61990.0,61990.0,61910.0,2
1740135600,60977.0,61418.0,61418.0,60977.0,8
1740139200,60849.0,60982.0,60982.0,60849.0,3
1740142800,60985.0,60985.0,60985.0,60985.0,1
1740146400,61276.0,61273.0,61276.0,61273.0,2
1740150000,61299.0,61278.0,61299.0,61278.0,3
1740153600,61276.0,61276.0,61276.0,61276.0,1
1740157200,61180.0,61214.0,61215.0,61180.0,4
1740164400,61345.0,61345.0,61345.0,61345.0,1
1740376800,61270.0,61137.0,61270.0,61137.0,3
1740380400,60888.0,61207.0,61207.0,60888.0,7
1740384000,61148.0,61083.0,61148.0,61083.0,2
1740387600,60924.0,61056.0,61056.0,60924.0,2
1740391200,60595.0,60778.0,60778.0,60595.0,4
1740398400,59771.0,60609.0,60609.0,59771.0,46
1740402000,59814.0,59700.0,60016.0,59441.0,23
1740405600,59816.0,59908.0,59908.0,59816.0,2
1740409200,60471.0,60195.0,60471.0,60195.0,4
1740412800,60250.0,60335.0,60381.0,60250.0,12
1740416400,60465.0,60352.0,60647.0,60331.0,9
1740423600,60482.0,60483.0,60483.0,60482.0,2
1740427200,60980.0,60598.0,60980.0,60598.0,9
1740463200,61292.0,61000.0,61292.0,61000.0,9
1740466800,61399.0,61292.0,61561.0,61288.0,27
1740470400,62430.0,61965.0,62782.0,61885.0,75
1740474000,62494.0,62265.0,62604.0,62265.0,5
1740477600,61959.0,62400.0,62494.0,61959.0,24
1740481200,62398.0,62121.0,62398.0,62121.0,23
1740484800,62322.0,62476.0,62500.0,62322.0,3
1740488400,62511.0,62511.0,62511.0,62511.0,2
1740492000,62248.0,62271.0,62308.0,62213.0,30
1740495600,61807.0,62175.0,62175.0,61807.0,8
1740499200,61886.0,62033.0,62034.0,61834.0,8
1740502800,62001.0,62001.0,62001.0,62001.0,2
1740549600,62163.0,62163.0,62163.0,62163.0,1
1740553200,61905.0,61872.0,61905.0,61765.0,9
1740556800,61800.0,61800.0,61800.0,61800.0,1
1740560400,61511.0,61518.0,61518.0,61400.0,16
1740564000,61287.0,61286.0,61482.0,61200.0,31
1740567600,61550.0,61285.0,61550.0,61285.0,8
1740571200,60636.0,61051.0,61051.0,60636.0,22
1740574800,60527.0,60676.0,60872.0,60390.0,22
1740578400,61050.0,60587.0,61050.0,60587.0,6
1740582000,60993.0,61044.0,61044.0,60993.0,4
1740585600,61056.0,60761.0,61066.0,60640.0,10
1740589200,61180.0,61044.0,61180.0,61044.0,4
1740592800,61157.0,61095.0,61157.0,61095.0,2
1740596400,60791.0,60957.0,60957.0,60791.0,5
1740600000,60737.0,60737.0,60737.0,60737.0,1
1740636000,61020.0,60998.0,61100.0,60998.0,6
1740639600,60382.0,60993.0,60993.0,60382.0,21
1740643200,59984.0,60492.0,60492.0,59900.0,26
1740646800,59877.0,60114.0,60114.0,59877.0,5
1740650400,59759.0,59800.0,59950.0,59739.0,7
1740654000,59749.0,59889.0,59922.0,59700.0,6
1740657600,60436.0,59791.0,60508.0,59791.0,25
1740661200,59700.0,60407.0,60500.0,59700.0,26
1740664800,59751.0,59929.0,60000.0,59751.0,14
1740668400,59707.0,59819.0,59819.0,59613.0,3
1740672000,59467.0,59610.0,59672.0,59441.0,24
1740675600,59358.0,59401.0,59401.0,59320.0,10
1740686400,59157.0,59299.0,59299.0,59129.0,3
1740722400,59356.0,59483.0,59569.0,59356.0,16
1740726000,58032.0,59406.0,59437.0,58032.0,81
1740729600,58287.0,58040.0,58380.0,58040.0,12
1740733200,58450.0,58475.0,58579.0,58439.0,56
1740736800,58335.0,58450.0,58450.0,58335.0,10
1740740400,58828.0,58654.0,58890.0,58654.0,9
1740744000,58837.0,58680.0,58837.0,58609.0,24
1740747600,59250.0,59142.0,59250.0,59051.0,12
1740751200,59610.0,59070.0,59663.0,59070.0,36
1740754800,59742.0,59895.0,59943.0,59742.0,8
1740758400,59820.0,59620.0,60000.0,59604.0,6
1740762000,60128.0,60128.0,60128.0,60128.0,1
1740765600,59469.0,59968.0,59968.0,59120.0,11
1740769200,59436.0,59360.0,59436.0,59360.0,6
1740981600,58614.0,58888.0,58888.0,58614.0,10
1740985200,58272.0,58494.0,58537.0,58254.0,27
1740988800,57900.0,58100.0,58326.0,57833.0,57
1740992400,57777.0,57992.0,57992.0,57777.0,36
1740996000,57791.0,57820.0,57820.0,57725.0,9
1740999600,57766.0,57707.0,57882.0,57550.0,39
1741003200,57759.0,57638.0,57759.0,57433.0,14
1741006800,57934.0,57711.0,57934.0,57675.0,5
1741010400,57793.0,57958.0,58060.0,57769.0,20
1741014000,57829.0,57780.0,58020.0,57780.0,13
1741017600,57853.0,57780.0,57853.0,57585.0,4
1741021200,58017.0,58017.0,58034.0,58017.0,5
1741024800,57511.0,57440.0,57511.0,57427.0,5
1741028400,58306.0,58068.0,58365.0,58068.0,30
1741032000,58154.0,58160.0,58160.0,58154.0,2
1741068000,58310.0,58218.0,58310.0,58173.0,24
1741071600,58553.0,58140.0,58570.0,58079.0,25
1741075200,58609.0,58641.0,58641.0,58609.0,2
1741078800,58423.0,58424.0,58424.0,58423.0,2
1741082400,58113.0,58113.0,58113.0,58113.0,1
1741086000,57500.0,57916.0,58074.0,57500.0,31
1741089600,57250.0,57500.0,57500.0,57201.0,54
1741093200,57644.0,57250.0,57681.0,57230.0,35
1741096800,57611.0,57644.0,57644.0,57602.0,3
1741100400,57645.0,57564.0,57705.0,57512.0,10
1741104000,58058.0,57733.0,58164.0,57733.0,57
1741107600,58047.0,58001.0,58053.0,58001.0,7
1741111200,57811.0,58005.0,58005.0,57811.0,58
1741114800,57953.0,57883.0,57953.0,57848.0,9
1741118400,57861.0,57953.0,57953.0,57861.0,2
1741150800,57817.0,58649.0,58649.0,57817.0,4
1741154400,57620.0,57620.0,57829.0,57620.0,13
1741158000,57375.0,57626.0,57626.0,57297.0,23
1741161600,57561.0,57468.0,57574.0,57200.0,13
1741165200,57705.0,57534.0,57728.0,57534.0,26
1741168800,57474.0,57558.0,57688.0,57474.0,10
1741172400,57226.0,57395.0,57395.0,57144.0,50
1741176000,57075.0,57343.0,57343.0,57075.0,33
1741179600,57213.0,57075.0,57300.0,57003.0,17
1741183200,57145.0,57218.0,57334.0,57145.0,14
1741186800,57303.0,57358.0,57358.0,57303.0,11
