time,close,open,high,low,volume
1739944800,33391.0,33180.0,33418.0,33145.0,242
1739948400,33155.0,33373.0,33391.0,33150.0,100
1739952000,33103.0,33137.0,33152.0,33017.0,214
1739955600,33179.0,33109.0,33240.0,33109.0,102
1739959200,33300.0,33146.0,33360.0,33144.0,106
1739962800,33300.0,33330.0,33350.0,33296.0,32
1739966400,33297.0,33297.0,33361.0,33191.0,89
1739970000,33345.0,33330.0,33360.0,33294.0,44
1739973600,33554.0,33346.0,33568.0,33335.0,225
1739977200,33422.0,33570.0,33570.0,33422.0,54
1739980800,33615.0,33577.0,33631.0,33500.0,170
1739984400,33545.0,33629.0,33629.0,33527.0,43
1739988000,33606.0,33588.0,33658.0,33588.0,75
1739991600,33542.0,33605.0,33635.0,33505.0,51
1739995200,33540.0,33500.0,33540.0,33500.0,2
1740031200,33505.0,33518.0,33548.0,33477.0,120
1740034800,33477.0,33500.0,33557.0,33422.0,270
1740038400,33324.0,33425.0,33465.0,33300.0,585
1740042000,33573.0,33324.0,33573.0,33271.0,176
1740045600,33535.0,33556.0,33605.0,33501.0,103
1740049200,33540.0,33488.0,33540.0,33445.0,65
1740052800,33568.0,33548.0,33621.0,33515.0,440
1740056400,33600.0,33550.0,33734.0,33543.0,529
1740060000,33620.0,33600.0,33678.0,33534.0,255
1740063600,33390.0,33622.0,33622.0,33250.0,640
1740067200,33450.0,33378.0,33477.0,33377.0,44
1740070800,33370.0,33396.0,33396.0,33314.0,48
1740074400,33385.0,33418.0,33418.0,33348.0,31
1740078000,33397.0,33412.0,33412.0,33360.0,10
1740117600,33420.0,33419.0,33420.0,33318.0,49
1740121200,33451.0,33420.0,33451.0,33300.0,126
1740124800,33478.0,33480.0,33495.0,33409.0,494
1740128400,33406.0,33489.0,33500.0,33400.0,593
1740132000,33092.0,33400.0,33426.0,33083.0,533
1740135600,33236.0,33101.0,33240.0,33041.0,140
1740139200,33260.0,33184.0,33260.0,33150.0,52
1740142800,33215.0,33150.0,33300.0,33150.0,86
1740146400,33287.0,33215.0,33324.0,33215.0,79
1740150000,33302.0,33268.0,33302.0,33219.0,50
1740153600,33342.0,33302.0,33342.0,33302.0,4
1740157200,33364.0,33298.0,33364.0,33277.0,23
1740160800,33381.0,33366.0,33410.0,33350.0,120
1740164400,33391.0,33380.0,33410.0,33380.0,33
1740168000,33372.0,33395.0,33440.0,33322.0,84
1740376800,33429.0,33331.0,33430.0,33331.0,67
1740380400,33355.0,33433.0,33480.0,33352.0,583
1740384000,33327.0,33352.0,33423.0,33316.0,90
1740387600,33318.0,33327.0,33344.0,33260.0,239
1740391200,33315.0,33309.0,33350.0,33255.0,90
1740394800,33375.0,33336.0,33411.0,33308.0,217
1740398400,33300.0,33362.0,33362.0,33276.0,255
1740402000,33269.0,33300.0,33315.0,33257.0,188
1740405600,33360.0,33308.0,33400.0,33300.0,343
1740409200,33413.0,33363.0,33420.0,33282.0,149
1740412800,33339.0,33394.0,33413.0,33339.0,82
1740416400,33463.0,33400.0,33489.0,33400.0,67
