time,close,open,high,low,volume
1739944800,10070.0,9997.0,10070.0,9909.0,786
1739948400,9936.0,10065.0,10095.0,9913.0,646
1739952000,9886.0,9936.0,9973.0,9850.0,591
1739955600,9940.0,9925.0,10000.0,9921.0,481
1739959200,9959.0,9937.0,10020.0,9907.0,658
1739962800,10003.0,9972.0,10041.0,9972.0,416
1739966400,10009.0,10000.0,10035.0,9959.0,363
1739970000,10055.0,10010.0,10055.0,10010.0,199
1739973600,10102.0,10061.0,10118.0,10021.0,1008
1739977200,10009.0,10103.0,10103.0,9976.0,771
1739980800,10135.0,10117.0,10154.0,10020.0,1221
1739984400,10141.0,10134.0,10204.0,10103.0,635
1739988000,10173.0,10163.0,10241.0,10163.0,458
1739991600,10175.0,10181.0,10193.0,10150.0,518
1739995200,10204.0,10191.0,10205.0,10165.0,259
1740031200,10099.0,10145.0,10162.0,10066.0,643
1740034800,10100.0,10075.0,10171.0,10075.0,575
1740038400,10060.0,10095.0,10115.0,10046.0,256
1740042000,10116.0,10067.0,10116.0,10020.0,151
1740045600,10120.0,10109.0,10158.0,10083.0,488
1740049200,10140.0,10134.0,10152.0,10100.0,312
1740052800,10191.0,10135.0,10222.0,10121.0,445
1740056400,10249.0,10187.0,10255.0,10166.0,864
1740060000,10153.0,10225.0,10237.0,10119.0,257
1740063600,10095.0,10140.0,10144.0,10052.0,256
1740067200,10066.0,10088.0,10115.0,10065.0,293
1740070800,10041.0,10060.0,10060.0,9992.0,384
1740074400,10059.0,10030.0,10060.0,9995.0,79
1740078000,10062.0,10059.0,10079.0,10054.0,146
1740081600,10043.0,10041.0,10043.0,10041.0,9
1740114000,10032.0,10032.0,10032.0,10032.0,1
1740117600,10060.0,10027.0,10060.0,10020.0,330
1740121200,10058.0,10058.0,10065.0,10003.0,881
1740124800,10053.0,10064.0,10083.0,10020.0,270
1740128400,10028.0,10060.0,10074.0,10028.0,80
1740132000,9901.0,10020.0,10032.0,9890.0,1074
1740135600,9903.0,9890.0,9903.0,9788.0,1914
1740139200,9899.0,9887.0,9899.0,9835.0,209
1740142800,9902.0,9863.0,9957.0,9856.0,790
1740146400,9940.0,9902.0,9972.0,9892.0,271
1740150000,9935.0,9935.0,9935.0,9921.0,145
1740153600,9886.0,9950.0,9973.0,9886.0,74
1740157200,9962.0,9908.0,9962.0,9900.0,30
1740160800,9974.0,9965.0,9994.0,9960.0,199
1740164400,9965.0,9960.0,9969.0,9940.0,119
1740168000,9985.0,9970.0,9985.0,9946.0,304
1740373200,10000.0,10000.0,10000.0,10000.0,2
1740376800,10049.0,10020.0,10050.0,10009.0,642
1740380400,10026.0,10050.0,10077.0,9985.0,366
1740384000,10018.0,10016.0,10051.0,10007.0,148
1740387600,10022.0,10026.0,10048.0,9993.0,575
1740391200,10024.0,10030.0,10049.0,10004.0,662
1740394800,10049.0,10050.0,10057.0,10040.0,332
1740398400,10018.0,10056.0,10056.0,10000.0,1832
1740402000,10123.0,10010.0,10150.0,9993.0,852
1740405600,10239.0,10120.0,10300.0,10098.0,1390
1740409200,10283.0,10249.0,10285.0,10208.0,614
1740412800,10204.0,10289.0,10300.0,10200.0,503
1740416400,10265.0,10212.0,10282.0,10204.0,194
1740420000,10260.0,10267.0,10299.0,10239.0,509
1740423600,10283.0,10264.0,10283.0,10240.0,254
1740427200,10336.0,10264.0,10358.0,10253.0,758
1740459600,10400.0,10355.0,10400.0,10355.0,23
1740463200,10433.0,10400.0,10459.0,10397.0,1269
1740466800,10268.0,10400.0,10426.0,10210.0,5617
1740470400,10207.0,10272.0,10280.0,10150.0,1684
1740474000,10128.0,10181.0,10238.0,10088.0,2434
1740477600,10110.0,10128.0,10152.0,10065.0,2478
1740481200,10144.0,10110.0,10183.0,10087.0,771
1740484800,10129.0,10130.0,10147.0,10120.0,279
1740488400,10204.0,10135.0,10214.0,10135.0,552
1740492000,10198.0,10197.0,10213.0,10175.0,235
1740495600,10114.0,10171.0,10177.0,10091.0,521
1740499200,10086.0,10114.0,10152.0,10085.0,434
1740502800,10115.0,10092.0,10115.0,10079.0,585
1740506400,10111.0,10136.0,10136.0,10070.0,849
1740510000,10130.0,10107.0,10142.0,10107.0,124
1740513600,10099.0,10126.0,10126.0,10099.0,63
1740549600,10055.0,10122.0,10146.0,10045.0,538
1740553200,10023.0,10055.0,10055.0,9929.0,3372
1740556800,10023.0,10023.0,10028.0,9990.0,483
1740560400,9977.0,10010.0,10014.0,9951.0,442
